time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/value_loss,train/explained_variance,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,time/episodes,rollout/exploration_rate
0,,133,225,,,0.001,,16,0.02647903747856617,,,,,19,0.8743036211699162
0,,140,210,,,0.001,,19,0.0161725040525198,,,,,20,0.8676880222841225
0,,147,194,,,0.001,,23,0.04535290598869324,,,,,21,0.8610724233983287
1,,154,153,,,0.001,,26,0.010214514099061489,,,,,22,0.8544568245125349
1,,161,128,,,0.001,,30,0.013481945730745792,,,,,23,0.8478412256267411
1,,168,125,,,0.001,,33,0.015276037156581879,,,,,24,0.8412256267409474
1,,175,119,,,0.001,,37,0.02416401356458664,,,,,25,0.8346100278551536
1,,182,96,,,0.001,,40,0.030959520488977432,,,,,26,0.8279944289693598
2,,189,90,,,0.001,,44,0.013843359425663948,,,,,27,0.8213788300835649
2,,196,90,,,0.001,,47,0.03661522641777992,,,,,28,0.8147632311977713
2,,203,90,,,0.001,,51,0.014013640582561493,,,,,29,0.8081476323119774
2,,210,90,,,0.001,,54,0.025988003239035606,,,,,30,0.8015320334261837
2,,217,89,,,0.001,,58,0.012128448113799095,,,,,31,0.79491643454039
2,,224,88,,,0.001,,61,0.011565407738089561,,,,,32,0.7883008356545962
2,,231,84,,,0.001,,65,0.010959725826978683,,,,,33,0.7816852367688024
3,,238,78,,,0.001,,68,0.01525451336055994,,,,,34,0.7750696378830086
3,,245,72,,,0.001,,72,0.012523968704044819,,,,,35,0.7684540389972149
3,,252,67,,,0.001,,75,0.014905511401593685,,,,,36,0.7618384401114211
3,,259,67,,,0.001,,79,0.0062951697036623955,,,,,37,0.7552228412256262
3,,266,67,,,0.001,,82,0.009207358583807945,,,,,38,0.7486072423398324
4,,273,66,,,0.001,,86,0.008316153660416603,,,,,39,0.7419916434540387
4,,280,67,,,0.001,,89,0.020697403699159622,,,,,40,0.7353760445682449
4,,287,67,,,0.001,,93,0.019000591710209846,,,,,41,0.7287604456824511
4,,294,67,,,0.001,,96,0.014859229326248169,,,,,42,0.7221448467966574
4,,301,68,,,0.001,,100,0.01779591292142868,,,,,43,0.7155292479108637
4,,308,68,,,0.001,,103,0.013308455236256123,,,,,44,0.7089136490250698
4,,315,65,,,0.001,,107,0.0075649116188287735,,,,,45,0.7022980501392762
5,,322,63,,,0.001,,110,0.012825636193156242,,,,,46,0.6956824512534823
5,,329,60,,,0.001,,114,0.020099826157093048,,,,,47,0.6890668523676886
5,,336,60,,,0.001,,117,0.023979566991329193,,,,,48,0.6824512534818937
5,,343,60,,,0.001,,121,0.013425763696432114,,,,,49,0.6758356545961
5,,350,60,,,0.001,,124,0.011518050916492939,,,,,50,0.6692200557103061
5,,357,60,,,0.001,,128,0.017620688304305077,,,,,51,0.6626044568245124
5,,364,61,,,0.001,,131,0.015636736527085304,,,,,52,0.6559888579387186
6,,371,61,,,0.001,,135,0.009273309260606766,,,,,53,0.6493732590529249
6,,378,61,,,0.001,,138,0.027950407937169075,,,,,54,0.642757660167131
6,,385,62,,,0.001,,142,0.008870162069797516,,,,,55,0.6361420612813373
6,,392,62,,,0.001,,145,0.009776082821190357,,,,,56,0.6295264623955436
6,,399,62,,,0.001,,149,0.017227856442332268,,,,,57,0.6229108635097498
6,,406,62,,,0.001,,152,0.02196444198489189,,,,,58,0.6162952646239549
6,,413,61,,,0.001,,156,0.010557304136455059,,,,,59,0.6096796657381611
6,,420,61,,,0.001,,159,0.017864860594272614,,,,,60,0.6030640668523675
7,,427,60,,,0.001,,163,0.0070741442032158375,,,,,61,0.5964484679665736
7,,434,61,,,0.001,,166,0.03147304430603981,,,,,62,0.5898328690807799
7,,441,61,,,0.001,,170,0.014279203489422798,,,,,63,0.583217270194986
7,,448,61,,,0.001,,173,0.011397908441722393,,,,,64,0.5766016713091923
7,,455,61,,,0.001,,177,0.024986600503325462,,,,,65,0.5699860724233985
7,,462,60,,,0.001,,180,0.010130101814866066,,,,,66,0.5633704735376048
7,,469,60,,,0.001,,184,0.027025924995541573,,,,,67,0.556754874651811
7,,476,60,,,0.001,,187,0.006680437829345465,,,,,68,0.5501392757660173
8,,483,59,,,0.001,,191,0.008290031924843788,,,,,69,0.5435236768802224
8,,490,59,,,0.001,,194,0.018158581107854843,,,,,70,0.5369080779944286
8,,497,59,,,0.001,,198,0.006096796598285437,,,,,71,0.5302924791086349
8,,504,59,,,0.001,,201,0.006223184056580067,,,,,72,0.5236768802228411
8,,511,59,,,0.001,,205,0.010452506132423878,,,,,73,0.5170612813370472
8,,518,58,,,0.001,,208,0.008200460113584995,,,,,74,0.5104456824512535
9,,525,57,,,0.001,,212,0.00770111009478569,,,,,75,0.5038300835654598
9,,532,56,,,0.001,,215,0.018831396475434303,,,,,76,0.497214484679666
9,,539,56,,,0.001,,219,0.027989452704787254,,,,,77,0.49059888579387223
9,,546,57,,,0.001,,222,0.016762277111411095,,,,,78,0.48398328690807846
9,,553,56,,,0.001,,226,0.019869070500135422,,,,,79,0.4773676880222837
9,,560,57,,,0.001,,229,0.030661245808005333,,,,,80,0.4707520891364899
9,,567,57,,,0.001,,233,0.018377577885985374,,,,,81,0.46413649025069614
9,,574,57,,,0.001,,236,0.007281957659870386,,,,,82,0.45752089136490226
10,,581,57,,,0.001,,240,0.010668640956282616,,,,,83,0.4509052924791085
10,,588,57,,,0.001,,243,0.01767735369503498,,,,,84,0.4442896935933148
10,,595,57,,,0.001,,247,0.017864903435111046,,,,,85,0.43767409470752106
10,,602,58,,,0.001,,250,0.029477564617991447,,,,,86,0.4310584958217273
10,,609,58,,,0.001,,254,0.0180832426995039,,,,,87,0.4244428969359334
10,,616,58,,,0.001,,257,0.017375372350215912,,,,,88,0.41782729805013963
10,,623,58,,,0.001,,261,0.023560600355267525,,,,,89,0.41121169916434597
10,,630,58,,,0.001,,264,0.011410643346607685,,,,,90,0.4045961002785522
10,,637,58,,,0.001,,268,0.011850622482597828,,,,,91,0.3979805013927573
10,,644,59,,,0.001,,271,0.023073367774486542,,,,,92,0.39136490250696354
10,,651,59,,,0.001,,275,0.01249555591493845,,,,,93,0.38474930362116977
11,,658,59,,,0.001,,278,0.011657563038170338,,,,,94,0.378133704735376
11,,665,59,,,0.001,,282,0.017947332933545113,,,,,95,0.3715181058495822
11,,672,59,,,0.001,,285,0.012907499447464943,,,,,96,0.36490250696378845
11,,679,60,,,0.001,,289,0.01036758441478014,,,,,97,0.3582869080779948
11,,686,60,,,0.001,,292,0.009090526029467583,,,,,98,0.3516713091922009
11,,693,60,,,0.001,,296,0.018482815474271774,,,,,99,0.34505571030640714
11,,700,60,,,0.001,,299,0.012946111150085926,,,,,100,0.33844011142061226
11,,707,60,,,0.001,,303,0.027436768636107445,,,,,101,0.3318245125348186
11,,714,61,,,0.001,,306,0.02114860527217388,,,,,102,0.3252089136490248
11,,721,61,,,0.001,,310,0.009594590403139591,,,,,103,0.31859331476323094
11,,728,61,,,0.001,,313,0.02632375992834568,,,,,104,0.3119777158774373
11,,735,61,,,0.001,,317,0.03322902321815491,,,,,105,0.3053621169916434
12,,742,61,,,0.001,,320,0.02767358161509037,,,,,106,0.29874651810584973
12,,749,61,,,0.001,,324,0.010021342895925045,,,,,107,0.29213091922005596
12,,756,61,,,0.001,,327,0.020286638289690018,,,,,108,0.2855153203342621
12,,763,61,,,0.001,,331,0.012652291916310787,,,,,109,0.2788997214484684
12,,770,61,,,0.001,,334,0.0227330531924963,,,,,110,0.27228412256267454
12,,777,60,,,0.001,,338,0.01885594241321087,,,,,111,0.2656685236768809
13,,784,59,,,0.001,,341,0.010474217124283314,,,,,112,0.259052924791086
13,,791,58,,,0.001,,345,0.013906550593674183,,,,,113,0.2524373259052922
13,,798,58,,,0.001,,348,0.017852384597063065,,,,,114,0.24582172701949845
13,,805,58,,,0.001,,352,0.009680998511612415,,,,,115,0.2392061281337048
13,,812,58,,,0.001,,355,0.019281161949038506,,,,,116,0.2325905292479109
13,,819,58,,,0.001,,359,0.011802170425653458,,,,,117,0.22597493036211713
14,,826,58,,,0.001,,362,0.019444232806563377,,,,,118,0.21935933147632336
14,,833,58,,,0.001,,366,0.01041336264461279,,,,,119,0.2127437325905296
14,,840,58,,,0.001,,369,0.01441457774490118,,,,,120,0.20612813370473593
14,,847,57,,,0.001,,373,0.017783887684345245,,,,,121,0.19951253481894093
14,,854,58,,,0.001,,376,0.03251827508211136,,,,,122,0.19289693593314727
15,,861,57,,,0.001,,380,0.014660442247986794,,,,,123,0.1862813370473534
15,,868,57,,,0.001,,383,0.007049858570098877,,,,,124,0.17966573816155973
15,,875,57,,,0.001,,387,0.016908559948205948,,,,,125,0.17305013927576596
15,,882,57,,,0.001,,390,0.016839485615491867,,,,,126,0.16643454038997207
15,,889,57,,,0.001,,394,0.011772784404456615,,,,,127,0.1598189415041784
15,,896,56,,,0.001,,397,0.018314922228455544,,,,,128,0.15320334261838453
15,,903,56,,,0.001,,401,0.010402562096714973,,,,,129,0.14658774373259087
15,,910,57,,,0.001,,404,0.007903339341282845,,,,,130,0.1399721448467971
16,,917,57,,,0.001,,408,0.007893008179962635,,,,,131,0.13335654596100321
16,,924,57,,,0.001,,411,0.007979356683790684,,,,,132,0.12674094707520955
16,,931,57,,,0.001,,415,0.006066687870770693,,,,,133,0.12012534818941478
16,,938,57,,,0.001,,418,0.012323909439146519,,,,,134,0.1135097493036209
16,,945,56,,,0.001,,422,0.008460801094770432,,,,,135,0.10689415041782724
17,,952,55,,,0.001,,425,0.014328760094940662,,,,,136,0.10027855153203336
17,,959,55,,,0.001,,429,0.018033817410469055,,,,,137,0.09366295264623958
17,,966,55,,,0.001,,432,0.013566060923039913,,,,,138,0.08704735376044592
17,,973,55,,,0.001,,436,0.016895072534680367,,,,,139,0.08043175487465204
17,,980,55,,,0.001,,439,0.020483925938606262,,,,,140,0.07381615598885838
17,,987,55,,,0.001,,443,0.013486496172845364,,,,,141,0.0672005571030645
17,,994,55,,,0.001,,446,0.012658534571528435,,,,,142,0.060584958217269724
18,,1001,54,,,0.001,,450,0.00848727859556675,,,,,143,0.05396935933147595
18,,1008,54,,,0.001,,453,0.009120572358369827,,,,,144,0.05
18,,1015,54,,,0.001,,457,0.021485472097992897,,,,,145,0.05
18,,1022,55,,,0.001,,460,0.009916880168020725,,,,,146,0.05
18,,1029,55,,,0.001,,464,0.014096023514866829,,,,,147,0.05
18,,1036,55,,,0.001,,467,0.015564235858619213,,,,,148,0.05
18,,1043,55,,,0.001,,471,0.01476159319281578,,,,,149,0.05
18,,1050,55,,,0.001,,474,0.006630266085267067,,,,,150,0.05
19,,1057,55,,,0.001,,478,0.026347238570451736,,,,,151,0.05
19,,1064,55,,,0.001,,481,0.0086649926379323,,,,,152,0.05
19,,1071,54,,,0.001,,485,0.02937668189406395,,,,,153,0.05
19,,1078,55,,,0.001,,488,0.013091051019728184,,,,,154,0.05
19,,1085,55,,,0.001,,492,0.007637049071490765,,,,,155,0.05
19,,1092,55,,,0.001,,495,0.012925127521157265,,,,,156,0.05
19,,1099,55,,,0.001,,499,0.010228562168776989,,,,,157,0.05
19,,1106,55,,,0.001,,502,0.022897794842720032,,,,,158,0.05
20,,1113,55,,,0.001,,506,0.019989486783742905,,,,,159,0.05
20,,1120,55,,,0.001,,509,0.02092275582253933,,,,,160,0.05
20,,1127,54,,,0.001,,513,0.016292639076709747,,,,,161,0.05
20,,1134,54,,,0.001,,516,0.029099121689796448,,,,,162,0.05
21,,1141,54,,,0.001,,520,0.016595173627138138,,,,,163,0.05
21,,1148,54,,,0.001,,523,0.014565822668373585,,,,,164,0.05
21,,1155,54,,,0.001,,527,0.005563581362366676,,,,,165,0.05
21,,1162,54,,,0.001,,530,0.011963617987930775,,,,,166,0.05
21,,1169,54,,,0.001,,534,0.01397681050002575,,,,,167,0.05
21,,1176,54,,,0.001,,537,0.009691874496638775,,,,,168,0.05
21,,1183,54,,,0.001,,541,0.007161680143326521,,,,,169,0.05
