time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
269,7,0,1,0.9933844011142062,,,
346,14,0,2,0.9867688022284125,,,
393,21,0,3,0.9801532033426187,,,
427,28,0,4,0.9735376044568249,,,
445,35,0,5,0.9669220055710311,,,
483,42,0,6,0.9603064066852364,,,
515,49,0,7,0.9536908077994426,,,
539,56,0,8,0.9470752089136488,,,
560,63,0,9,0.940459610027855,,,
579,70,0,10,0.9338440111420613,,,
595,77,0,11,0.9272284122562675,,,
603,84,0,12,0.9206128133704737,,,
596,91,0,13,0.91399721448468,,,
589,98,0,14,0.9073816155988861,,,
257,105,0,15,0.9007660167130924,0.001,0.13665549457073212,2
225,112,0,16,0.8941504178272975,0.001,0.0995054692029953,5
176,119,0,17,0.8875348189415038,0.001,0.06426011025905609,9
156,126,0,18,0.88091922005571,0.001,0.04065153747797012,12
151,133,0,19,0.8743036211699162,0.001,0.03309500962495804,16
150,140,0,20,0.8676880222841225,0.001,0.019822731614112854,19
143,147,1,21,0.8610724233983287,0.001,0.019405547529459,23
143,154,1,22,0.8544568245125349,0.001,0.010645893402397633,26
138,161,1,23,0.8478412256267411,0.001,0.028025591745972633,30
138,168,1,24,0.8412256267409474,0.001,0.027125747874379158,33
136,175,1,25,0.8346100278551536,0.001,0.027396876364946365,37
136,182,1,26,0.8279944289693598,0.001,0.029960280284285545,40
133,189,1,27,0.8213788300835649,0.001,0.017426397651433945,44
133,196,1,28,0.8147632311977713,0.001,0.03509892523288727,47
132,203,1,29,0.8081476323119774,0.001,0.016579078510403633,51
133,210,1,30,0.8015320334261837,0.001,0.012450624257326126,54
133,217,1,31,0.79491643454039,0.001,0.016606461256742477,58
134,224,1,32,0.7883008356545962,0.001,0.005758444778621197,61
133,231,1,33,0.7816852367688024,0.001,0.010748135857284069,65
134,238,1,34,0.7750696378830086,0.001,0.020867126062512398,68
133,245,1,35,0.7684540389972149,0.001,0.02284415438771248,72
134,252,1,36,0.7618384401114211,0.001,0.01655626855790615,75
134,259,1,37,0.7552228412256262,0.001,0.011960475705564022,79
134,266,1,38,0.7486072423398324,0.001,0.017940424382686615,82
133,273,2,39,0.7419916434540387,0.001,0.016381505876779556,86
134,280,2,40,0.7353760445682449,0.001,0.0109139084815979,89
134,287,2,41,0.7287604456824511,0.001,0.020763637498021126,93
134,294,2,42,0.7221448467966574,0.001,0.022017398849129677,96
133,301,2,43,0.7155292479108637,0.001,0.021846817806363106,100
134,308,2,44,0.7089136490250698,0.001,0.022081978619098663,103
133,315,2,45,0.7022980501392762,0.001,0.015528891235589981,107
133,322,2,46,0.6956824512534823,0.001,0.017118209972977638,110
131,329,2,47,0.6890668523676886,0.001,0.013014676049351692,114
132,336,2,48,0.6824512534818937,0.001,0.026120152324438095,117
132,343,2,49,0.6758356545961,0.001,0.00973320659250021,121
132,350,2,50,0.6692200557103061,0.001,0.011684229597449303,124
133,357,2,51,0.6626044568245124,0.001,0.02007814310491085,128
133,364,2,52,0.6559888579387186,0.001,0.024425599724054337,131
133,371,2,53,0.6493732590529249,0.001,0.012128623202443123,135
133,378,2,54,0.642757660167131,0.001,0.017796019092202187,138
132,385,2,55,0.6361420612813373,0.001,0.018249904736876488,142
128,392,3,56,0.6295264623955436,0.001,0.024908000603318214,145
120,399,3,57,0.6229108635097498,0.001,0.02107304148375988,149
118,406,3,58,0.6162952646239549,0.001,0.015356319025158882,152
114,413,3,59,0.6096796657381611,0.001,0.029134981334209442,156
113,420,3,60,0.6030640668523675,0.001,0.01854020543396473,159
110,427,3,61,0.5964484679665736,0.001,0.019703339785337448,163
109,434,3,62,0.5898328690807799,0.001,0.020351199433207512,166
108,441,4,63,0.583217270194986,0.001,0.014132139272987843,170
109,448,4,64,0.5766016713091923,0.001,0.00885997898876667,173
109,455,4,65,0.5699860724233985,0.001,0.017582396045327187,177
109,462,4,66,0.5633704735376048,0.001,0.019635101780295372,180
109,469,4,67,0.556754874651811,0.001,0.02032395452260971,184
108,476,4,68,0.5501392757660173,0.001,0.022829435765743256,187
103,483,4,69,0.5435236768802224,0.001,0.0075417268089950085,191
101,490,4,70,0.5369080779944286,0.001,0.028339628130197525,194
100,497,4,71,0.5302924791086349,0.001,0.012485130690038204,198
